Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JULY 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,ANNUALTOTAL,,,,,
Waymo LLC,AVT003,2C4RC1K76HR695701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K78HR695702,0,793.8,873.7,77.8,146.9,0,0,0,56.7,209,675.9,0,0,2833.8,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR695698,0,417.1,418.6,101.9,188.2,0,0,0,0,0,430.9,433.5,663.5,2653.6,,,,,
Waymo LLC,AVT003,2C4RC1K76HR695696,0,577.9,962.3,220.8,236.2,0,0,0,0,2376.8,714.5,0,0,5088.5,,,,,
Waymo LLC,AVT003,2C4RC1K78HR695697,0,0,6,0,432.4,0,0,0,742.7,0,0,0,163.6,1344.6,,,,,
Waymo LLC,AVT003,2C4RC1K74HR695700,0,104.9,116.3,0,460.2,0,0,0,149,1134.3,1024.9,772.1,12.4,3774.3,,,,,
Waymo LLC,AVT003,2C4RC1K75HR695690,0,536.8,712.4,910.7,248.2,0,0,0,0,17,724,40,0,3189.1,,,,,
Waymo LLC,AVT003,2C4RC1K77HR695691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K73HR695705,0,897,888.9,292.1,373.1,0,0,0,0,0,779.4,267.4,529,4026.9,,,,,
Waymo LLC,AVT003,2C4RC1K75HR695706,1,375.3,564.1,439.7,319,0,0,0,0,388.2,375.3,366.1,205.5,3033.3,,,,,
Waymo LLC,AVT003,2C4RC1K71HR695699,1,932.7,685.5,604.8,385.2,0,0,0,246.1,1598.7,971.6,25.5,650.2,6100.3,,,,,
Waymo LLC,AVT003,2C4RC1K71HR833838,0,29,9,0,0,0,0,0,0,0,0,0,0,38,,,,,
Waymo LLC,AVT003,2C4RC1K75HR812331,0,1858.6,1124.8,1665.7,506.2,0,0,123.4,1160,1925.9,1401.2,1492.2,444.2,11702.2,,,,,
Waymo LLC,AVT003,2C4RC1K73HR822193,0,0,0,0,0,0,0,0,0,0,386,161.3,0,547.2,,,,,
Waymo LLC,AVT003,2C4RC1K70HR797365,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR833854,0,0,0,0,0,0,0,0,0,0,0,769,616.1,1385.1,,,,,
Waymo LLC,AVT003,2C4RC1K76HR797399,0,0,0,0,0,0,0,0,0,0,0,435.5,0,435.5,,,,,
Waymo LLC,AVT003,2C4RC1K74HR797353,0,0,0,0,0,0,0,0,0,0,1072.6,0,0,1072.6,,,,,
Waymo LLC,AVT003,2C4RC1K78HR805485,0,0,0,0,0,0,0,0,0,0,185.5,0,0,185.5,,,,,
Waymo LLC,AVT003,2C4RC1K71HR822192,0,0,0,0,0,0,0,0,0,0,0,41.3,0,41.3,,,,,
Waymo LLC,AVT003,2C4RC1K73HR797375,0,0,0,0,0,0,0,0,0,0,0,225.5,599.6,825,,,,,
Waymo LLC,AVT003,2C4RC1K78HR833870,0,0,0,0,0,0,0,0,0,0,0,105.3,0,105.3,,,,,
Waymo LLC,AVT003,2C4RC1K78HR797386,0,0,0,0,0,0,0,0,0,0,141.7,246.3,41.5,429.5,,,,,
Waymo LLC,AVT003,2C4RC1K78HR824232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K70HR797317,0,0,0,0,0,0,0,0,0,0,0,320,658,978,,,,,
Waymo LLC,AVT003,2C4RC1K73HR805510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K73HR797294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K70HR833796,1,1999.6,2426.9,1496.4,220.6,0,0,583.5,836.5,2090.5,286.9,0,0,9941,,,,,
