Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,ANNUALTOTAL
CRUISE LLC,AVT008,5G21A6S00K40121EX,2,1111.160245,1546.08003,1193.388793,1715.936294,1674.377336,2216.795962,1716.683533,123.1338714,0,0,0,0,11297.55606
CRUISE LLC,AVT008,5G21A6S01K40095EX,2,1105.161824,1545.341869,974.9752572,9.656549375,1321.773767,1720.22681,493.4237559,103.6436344,0,0,0,0,7274.203466
CRUISE LLC,AVT008,5G21A6S06K40082EX,0,1092.53754,1356.046731,800.6342868,1666.343131,1316.922646,120.7648037,0,0,0,0,0,0,6353.249139
CRUISE LLC,AVT008,5G21A6S00K40086EX,1,1081.927841,2004.292586,1573.659052,1682.361249,716.0910147,0,0,0,0,0,0,0,7058.331742
CRUISE LLC,AVT008,5G21A6S08K40071EX,1,1055.540247,1416.864285,1079.692744,397.007185,1621.1478,1746.576067,747.8203018,167.8963617,0,0,0,0,8232.544991
CRUISE LLC,AVT008,5G21A6S03K40090EX,1,1044.207693,2012.062172,1294.879018,1497.847971,1586.387448,1363.259727,68.55046129,0,0,0,0,0,8867.19449
CRUISE LLC,AVT008,5G21A6S03K40113EX,1,1026.371234,693.4452382,0,0,0,915.1865037,1214.814774,85.09571642,0,0,0,0,3934.913466
CRUISE LLC,AVT008,5G21A6S03K40061EX,0,1019.712706,1678.973282,1084.429347,659.2708744,1444.133737,1912.024556,235.9199905,0,0,0,0,0,8034.464494
CRUISE LLC,AVT008,5G21A6S00K40040EX,0,1001.716517,1158.352429,1258.224924,1060.901981,1026.204752,1818.369375,288.262213,38.49262045,0,0,0,0,7650.524812
CRUISE LLC,AVT008,5G21A6S04K40116EX,1,997.6409848,1400.194714,1029.606646,575.951459,1052.198307,0,0,0,0,0,0,0,5055.59211
CRUISE LLC,AVT008,5G21A6S03K40084EX,2,985.1963076,889.910716,1364.557265,762.8200712,1434.865311,1854.526945,401.9256603,0,0,0,0,0,7693.802276
CRUISE LLC,AVT008,5G21A6S02K40110EX,1,965.5268207,356.818215,1304.875856,759.0912266,1159.062181,517.5553876,314.9046248,0,0,0,0,0,5377.834312
CRUISE LLC,AVT008,5G21A6S05K40119EX,2,953.7168414,1732.70491,1572.723936,900.8989467,1796.06244,1430.368194,761.7458061,0,0,0,0,0,9148.221074
CRUISE LLC,AVT008,5G21A6S0XK40025EX,1,948.3031047,1851.512836,1255.025261,156.0307529,747.4486794,1316.43301,597.7219618,0,0,0,0,0,6872.475606
CRUISE LLC,AVT008,5G21A6S04K40064EX,0,941.7504748,1638.270814,1103.517096,1171.668153,1316.65832,1799.151138,345.0042468,0,0,0,0,0,8316.020242
CRUISE LLC,AVT008,5G21A6S0XK40060EX,3,884.6728954,1327.70626,902.6234457,754.3596803,1691.783676,895.5802861,1480.232891,569.8662241,31.5129745,0,0,0,8538.338333
CRUISE LLC,AVT008,5G21A6S06K40099EX,0,871.772283,1604.645169,266.6590091,182.3135678,917.1884202,1322.678785,612.8580911,201.1511637,0,0,0,0,5979.266489
CRUISE LLC,AVT008,5G21A6S04K40058EX,0,742.0990995,1538.706564,861.9448491,1208.930622,1181.494848,1162.423525,12.33726715,0,0,0,0,0,6707.936776
CRUISE LLC,AVT008,5G21A6S00K40034EX,2,678.6491841,747.5720798,1001.131442,1210.718792,1731.013423,1219.9908,1026.549844,0,0,0,0,0,7615.625565
CRUISE LLC,AVT008,5G21A6S09K40074EX,0,653.5218319,1660.103654,351.37278,0,1594.859617,239.9239675,0,0,0,0,0,0,4499.78185
CRUISE LLC,AVT008,5G21A6S03K40078EX,1,649.0416275,2103.485037,1589.25164,514.0407411,1523.742496,1210.837363,1597.974075,220.6214569,0,0,0,0,9408.994437
CRUISE LLC,AVT008,5G21A6S08K40094EX,1,573.6842693,1270.584444,1047.13249,1238.934933,1438.117818,495.2502417,323.8085316,66.07223773,0,0,0,0,6453.584965
CRUISE LLC,AVT008,5G21A6S09K40045EX,0,560.0559643,1171.51195,1318.613133,650.9004538,1506.763757,1761.13883,1196.057503,153.1867517,0,0,0,0,8318.228342
CRUISE LLC,AVT008,5G21A6S0XK40083EX,2,538.3878118,1652.350164,663.1141324,107.6518957,1116.181859,1794.556031,1185.319305,216.7948514,0,0,0,0,7274.356051
CRUISE LLC,AVT008,5G21A6S05K40073EX,1,508.9096884,1028.768258,132.6374125,719.9789007,1370.903424,1068.193095,268.5273557,0,0,0,0,0,5097.918135
CRUISE LLC,AVT008,5G21A6S07K40085EX,1,497.0170697,1055.916231,1281.457197,1461.797718,1360.949609,348.7089194,0,0,0,0,0,0,6005.846743
CRUISE LLC,AVT008,5G21A6S01K40043EX,0,450.6604502,1109.417608,403.3808774,0,0,0,0,0,0,0,0,0,1963.458935
CRUISE LLC,AVT008,5G21A6S07K40114EX,1,395.6795001,505.0892456,689.9496475,284.2439298,155.906897,0,13.02689846,3.564161558,0,0,0,0,2047.46028
CRUISE LLC,AVT008,5G21A6S06K40076EX,0,370.3029818,266.4474656,19.72544214,0.000553665,1.09E-06,0,0,0,0,0,0,0,656.4764443
